run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,statistic,p_value
20260601_111248,CNN1D,SKAB,2026,noisy,0.8365884006618378,0.849766303138215,0.8753932386192664,0.849766303138215,8.208,0.122798,,,
20260601_111248,CNN1D,SKAB,2026,unseen,0.8151108802797078,0.832851101713777,0.8659535205696864,0.832851101713777,8.208,0.082763,,,
20260601_111248,Automata,SKAB,2026,original,0.5256536134752745,0.6606546426185704,0.436464556813471,0.6606546426185704,0.266,0.088521,,,
20260601_111248,Automata,SKAB,2026,noisy,0.5251198313259643,0.659541304831886,0.43621467932149033,0.659541304831886,0.266,0.083951,,,
20260601_111248,Automata,SKAB,2026,unseen,0.5392390601835804,0.6372745490981964,0.5332614733337984,0.6372745490981964,0.266,0.088273,0.0027,,
20260601_111248,LSTM,SKAB,7,original,0.8671693831954937,0.875751503006012,0.895419775721656,0.875751503006012,10.794,0.158789,,,
20260601_111248,LSTM,SKAB,7,noisy,0.8647497479160393,0.8733021598753061,0.891483714197743,0.8733021598753061,10.794,0.197839,,,
20260601_111248,LSTM,SKAB,7,unseen,0.8266263636197752,0.8421287018481407,0.8725777634340135,0.8421287018481407,10.794,0.209971,,,
20260601_111248,GRU,SKAB,7,original,0.884090560258634,0.8902248942329103,0.9045527129276998,0.8902248942329103,17.381,0.121155,,,
20260601_111248,GRU,SKAB,7,noisy,0.8832899711860557,0.8893342240035627,0.9028039057020814,0.8893342240035627,17.381,0.117151,,,
20260601_111248,GRU,SKAB,7,unseen,0.844210144626343,0.8561567579603652,0.8802951801069239,0.8561567579603652,17.381,0.125426,,,
20260601_111248,CNN1D,SKAB,7,original,0.8466712125517359,0.8580013354106387,0.8805812537691727,0.8580013354106387,10.608,0.096561,,,
20260601_111248,CNN1D,SKAB,7,noisy,0.8429289244539651,0.8546628088137103,0.8770015923512468,0.8546628088137103,10.608,0.092211,,,
20260601_111248,CNN1D,SKAB,7,unseen,0.82220904423707,0.8381927442688627,0.8678746958847288,0.8381927442688627,10.608,0.078198,,,
20260601_111248,Automata,SKAB,7,original,0.5256536134752745,0.6606546426185704,0.436464556813471,0.6606546426185704,0.215,0.060219,,,
20260601_111248,Automata,SKAB,7,noisy,0.5256536134752745,0.6606546426185704,0.436464556813471,0.6606546426185704,0.215,0.064113,,,
20260601_111248,Automata,SKAB,7,unseen,0.5408573275466433,0.6379425517702071,0.536993193884818,0.6379425517702071,0.215,0.080924,0.0033,,
20260601_111248,LSTM,SKAB,999,original,0.8797838269791238,0.8864395457581831,0.9017293388270038,0.8864395457581831,10.264,0.078237,,,
20260601_111248,LSTM,SKAB,999,noisy,0.8806548862906213,0.8871075484301937,0.9016652741867361,0.8871075484301937,10.264,0.106669,,,
20260601_111248,LSTM,SKAB,999,unseen,0.8431336390443057,0.8552660877310176,0.8796820916885456,0.8552660877310176,10.264,0.133499,,,
20260601_111248,GRU,SKAB,999,original,0.8766888479337268,0.8837675350701403,0.8999483822472868,0.8837675350701403,14.134,0.10979,,,
20260601_111248,GRU,SKAB,999,noisy,0.8782572465790243,0.8851035404141616,0.900739074155213,0.8851035404141616,14.134,0.113724,,,
20260601_111248,GRU,SKAB,999,unseen,0.8359679596180218,0.8494767312402582,0.8762794955330794,0.8494767312402582,14.134,0.09576,,,
20260601_111248,CNN1D,SKAB,999,original,0.8491829029596265,0.8604495882483864,0.8842824744768027,0.8604495882483864,8.62,0.111817,,,
20260601_111248,CNN1D,SKAB,999,noisy,0.8465103312388951,0.8575561985310483,0.8785814203623464,0.8575561985310483,8.62,0.117402,,,
20260601_111248,CNN1D,SKAB,999,unseen,0.8252110158274859,0.8408635655464055,0.8711520972539728,0.8408635655464055,8.62,0.099514,,,
20260601_111248,Automata,SKAB,999,original,0.5256536134752745,0.6606546426185704,0.436464556813471,0.6606546426185704,0.249,0.086272,,,
20260601_111248,Automata,SKAB,999,noisy,0.5253334301063562,0.6599866399465598,0.4363146971304463,0.6599866399465598,0.249,0.071551,,,
20260601_111248,Automata,SKAB,999,unseen,0.5413221473676556,0.6392785571142284,0.5391873054495481,0.6392785571142284,0.249,0.083958,0.0029,,
20260601_111248,Wilcoxon_LSTM_vs_GRU,SKAB,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.4375
20260601_111248,Wilcoxon_LSTM_vs_Automata,SKAB,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0625
20260601_111248,Wilcoxon_GRU_vs_Automata,SKAB,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0625
20260601_111248,Wilcoxon_LSTM_vs_CNN1D,SKAB,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0625
20260601_111248,McNemar_LSTM_vs_GRU,SKAB,999,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,2.326923076923077,0.12715299260001423
20260601_111248,McNemar_LSTM_vs_Automata,SKAB,999,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,998.2188715953307,0.0
20260601_111248,LSTM,BATADAL,42,original,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.394,0.015583,,,
20260601_111248,LSTM,BATADAL,42,noisy,0.8563956600009731,0.9002403846153846,0.8166233645727012,0.9002403846153846,1.394,0.023353,,,
20260601_111248,LSTM,BATADAL,42,unseen,0.8063663889493576,0.8016826923076923,0.8111213155105967,0.8016826923076923,1.394,0.019395,,,
20260601_111248,GRU,BATADAL,42,original,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.963,0.020882,,,
20260601_111248,GRU,BATADAL,42,noisy,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.963,0.019441,,,
20260601_111248,GRU,BATADAL,42,unseen,0.7967051618383792,0.7848557692307693,0.8090053998899739,0.7848557692307693,1.963,0.024154,,,
20260601_111248,CNN1D,BATADAL,42,original,0.858531310971374,0.9040767386091128,0.81735474929409,0.9040767386091128,1.164,0.027908,,,
20260601_111248,CNN1D,BATADAL,42,noisy,0.858531310971374,0.9040767386091128,0.81735474929409,0.9040767386091128,1.164,0.013565,,,
20260601_111248,CNN1D,BATADAL,42,unseen,0.8244507075830507,0.8357314148681055,0.8135450567921824,0.8357314148681055,1.164,0.025242,,,
20260601_111248,Automata,BATADAL,42,original,0.8384610851350855,0.8521634615384616,0.8258974234765646,0.8521634615384616,0.04,0.018278,,,
20260601_111248,Automata,BATADAL,42,noisy,0.8417900637221786,0.8557692307692307,0.8291913214990139,0.8557692307692307,0.04,0.018999,,,
20260601_111248,Automata,BATADAL,42,unseen,0.8287871069328022,0.8317307692307693,0.8258959182442033,0.8317307692307693,0.04,0.020417,0.0084,,
20260601_111248,LSTM,BATADAL,123,original,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.23,0.02934,,,
20260601_111248,LSTM,BATADAL,123,noisy,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.23,0.014414,,,
20260601_111248,LSTM,BATADAL,123,unseen,0.8200707338638373,0.8221153846153846,0.8180440417282522,0.8221153846153846,1.23,0.014477,,,
20260601_111248,GRU,BATADAL,123,original,0.8557935735150924,0.8990384615384616,0.8165180230397622,0.8990384615384616,1.453,0.018745,,,
20260601_111248,GRU,BATADAL,123,noisy,0.8563956600009731,0.9002403846153846,0.8166233645727012,0.9002403846153846,1.453,0.020254,,,
20260601_111248,GRU,BATADAL,123,unseen,0.7884525479195885,0.765625,0.8135170603674541,0.765625,1.453,0.020043,,,
20260601_111248,CNN1D,BATADAL,123,original,0.858531310971374,0.9040767386091128,0.81735474929409,0.9040767386091128,0.933,0.022511,,,
20260601_111248,CNN1D,BATADAL,123,noisy,0.858531310971374,0.9040767386091128,0.81735474929409,0.9040767386091128,0.933,0.023426,,,
20260601_111248,CNN1D,BATADAL,123,unseen,0.8273600153952405,0.8345323741007195,0.8204243423443064,0.8345323741007195,0.933,0.020786,,,
