run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,window_size,alphabet_size
20260517_135357,Automata,WADI,7,unseen,0.0,1.0,0.0,0.0,4.784,1.805793,0.0,,
20260517_135357,LSTM,WADI,999,original,0.0706,0.0366,0.0366,1.0,51.144,0.133405,,,
20260517_135357,LSTM,WADI,999,noisy,0.0706,0.0366,0.0366,1.0,40.503,0.758658,,,
20260517_135357,GRU,WADI,999,original,0.0706,0.0366,0.0366,1.0,18.805,0.097716,,,
20260517_135357,GRU,WADI,999,noisy,0.0706,0.0366,0.0366,1.0,18.533,0.49399,,,
20260517_135357,CNN1D,WADI,999,original,0.0706,0.0366,0.0366,1.0,105.677,0.221036,,,
20260517_135357,CNN1D,WADI,999,noisy,0.0706,0.0366,0.0366,1.0,107.525,0.24443,,,
20260517_135357,Automata,WADI,999,original,0.0,1.0,0.0,0.0,3.971,1.278051,,,
20260517_135357,Automata,WADI,999,noisy,0.0,1.0,0.0,0.0,3.843,1.288232,,,
20260517_135357,Automata,WADI,999,unseen,0.0,1.0,0.0,0.0,3.815,1.276061,0.0,,
20260517_135357,Automata,SWAT→WADI,42,cross_dataset,0.0,1.0,0.0,0.0,0.444,1.289295,,,
20260517_135357,LSTM,SWAT→WADI,42,cross_dataset,0.0,0.9634,0.0,0.0,0.645,0.036976,,,
20260517_135357,GRU,SWAT→WADI,42,cross_dataset,0.0,0.9634,0.0,0.0,0.28,0.018175,,,
20260517_135357,CNN1D,SWAT→WADI,42,cross_dataset,0.0,0.9634,0.0,0.0,1.511,0.092539,,,
20260517_135357,Automata,WADI→SWAT,42,cross_dataset,0.0,0.1007,0.0,0.0,3.934,0.136172,,,
20260517_135357,LSTM,WADI→SWAT,42,cross_dataset,0.0,0.1751,0.0,0.0,31.267,0.004115,,,
20260517_135357,GRU,WADI→SWAT,42,cross_dataset,0.0,0.0,0.0,0.0,8.225,0.002921,,,
20260517_135357,CNN1D,WADI→SWAT,42,cross_dataset,0.0,0.2105,0.0,0.0,52.873,0.009193,,,
20260517_135357,Automata,SWAT,42,ws3_ab3,0.0,0.9505,0.0,0.0,0.543,0.182918,,3,3
20260517_135357,Automata,SWAT,42,ws3_ab4,0.0,0.8646,0.0,0.0,0.545,0.184332,,3,4
20260517_135357,Automata,SWAT,42,ws3_ab5,0.0,0.9401,0.0,0.0,0.542,0.197899,,3,5
20260517_135357,Automata,SWAT,42,ws3_ab6,0.0,0.9141,0.0,0.0,0.533,0.18481,,3,6
20260517_135357,Automata,SWAT,42,ws4_ab3,0.0,0.9444,0.0,0.0,0.403,0.149813,,4,3
20260517_135357,Automata,SWAT,42,ws4_ab4,0.0,0.8438,0.0,0.0,0.432,0.139234,,4,4
20260517_135357,Automata,SWAT,42,ws4_ab5,0.0,0.9375,0.0,0.0,0.426,0.135701,,4,5
20260517_135357,Automata,SWAT,42,ws4_ab6,0.0,0.941,0.0,0.0,0.411,0.139463,,4,6
20260517_135357,Automata,SWAT,42,ws5_ab3,0.0,0.9261,0.0,0.0,0.328,0.108159,,5,3
20260517_135357,Automata,SWAT,42,ws5_ab4,0.0,0.813,0.0,0.0,0.322,0.112014,,5,4
20260517_135357,Automata,SWAT,42,ws5_ab5,0.0,0.9565,0.0,0.0,0.329,0.111442,,5,5
20260517_135357,Automata,SWAT,42,ws5_ab6,0.0,0.9348,0.0,0.0,0.329,0.112813,,5,6
20260517_135357,Automata,SWAT,42,ws6_ab3,0.0,0.9219,0.0,0.0,0.269,0.093964,,6,3
20260517_135357,Automata,SWAT,42,ws6_ab4,0.0,0.9062,0.0,0.0,0.315,0.106882,,6,4
20260517_135357,Automata,SWAT,42,ws6_ab5,0.0,0.9427,0.0,0.0,0.273,0.08972,,6,5
20260517_135357,Automata,SWAT,42,ws6_ab6,0.0,0.9375,0.0,0.0,0.272,0.097469,,6,6
20260517_135357,Automata,WADI,42,ws3_ab3,0.0,1.0,0.0,0.0,5.228,1.789141,,3,3
20260517_135357,Automata,WADI,42,ws3_ab4,0.0,1.0,0.0,0.0,5.237,1.698143,,3,4
20260517_135357,Automata,WADI,42,ws3_ab5,0.0,1.0,0.0,0.0,5.218,1.72908,,3,5
20260517_135357,Automata,WADI,42,ws3_ab6,0.0,1.0,0.0,0.0,5.272,1.671744,,3,6
20260517_135357,Automata,WADI,42,ws4_ab3,0.0,1.0,0.0,0.0,3.919,1.307151,,4,3
20260517_135357,Automata,WADI,42,ws4_ab4,0.0,1.0,0.0,0.0,3.878,1.365523,,4,4
20260517_135357,Automata,WADI,42,ws4_ab5,0.0,1.0,0.0,0.0,3.948,1.2675,,4,5
20260517_135357,Automata,WADI,42,ws4_ab6,0.0,1.0,0.0,0.0,4.086,1.257377,,4,6
20260517_135357,Automata,WADI,42,ws5_ab3,0.0,1.0,0.0,0.0,3.134,1.066217,,5,3
20260517_135357,Automata,WADI,42,ws5_ab4,0.0,1.0,0.0,0.0,3.201,1.029853,,5,4
20260517_135357,Automata,WADI,42,ws5_ab5,0.0,1.0,0.0,0.0,3.099,1.042625,,5,5
20260517_135357,Automata,WADI,42,ws5_ab6,0.0,1.0,0.0,0.0,3.148,1.047182,,5,6
20260517_135357,Automata,WADI,42,ws6_ab3,0.0,1.0,0.0,0.0,2.612,0.881569,,6,3
20260517_135357,Automata,WADI,42,ws6_ab4,0.0,1.0,0.0,0.0,2.806,0.87334,,6,4
20260517_135357,Automata,WADI,42,ws6_ab5,0.0,1.0,0.0,0.0,2.586,0.890618,,6,5
20260517_135357,Automata,WADI,42,ws6_ab6,0.0,1.0,0.0,0.0,2.631,0.923747,,6,6
